max_case_type,min_cases_type,no_of_cases,avg_solving_day
appeal against HR,discrimination,4633,15
Workplace harassment,appeal against HR,4635,8
Murder,Workplace harassment,4637,4
robbery,Murder,4639,3
dowry demands,theft,4641,8
robbery,cybercrime,4643,15
unfair dismissal,sedition,4645,15
theft,Property dispute,4647,11
cybercrime,marriage affairs,4649,5
sedition,Divorce,4651,6
Property dispute,Fraud,4653,14
Fraud,riots,4655,11
riots,claims of negligence,4657,9
marriage affairs,dowry demands,4659,8
Divorce,robbery,4661,10
claims of negligence,unfair dismissal,4663,9
appeal against HR,discrimination,4665,7
Workplace harassment,appeal against HR,4667,6
Murder,Workplace harassment,4669,12
robbery,Murder,4671,15
dowry demands,theft,4673,4
robbery,cybercrime,4675,9
unfair dismissal,sedition,4677,14
theft,Property dispute,4679,7
cybercrime,marriage affairs,4681,10
sedition,Divorce,4683,7
Property dispute,Fraud,4685,8
Fraud,riots,4687,14
riots,claims of negligence,4689,5
marriage affairs,dowry demands,4691,10
Divorce,robbery,4693,5
claims of negligence,unfair dismissal,4695,3
appeal against HR,discrimination,4697,3
Workplace harassment,appeal against HR,4699,12
Murder,Workplace harassment,4701,11
robbery,Murder,4703,10
dowry demands,theft,4705,9
robbery,cybercrime,4707,7
unfair dismissal,sedition,4709,3
theft,Property dispute,4711,11
cybercrime,marriage affairs,4713,5
sedition,Divorce,4715,14
Property dispute,Fraud,4717,3
Fraud,riots,4719,12
riots,claims of negligence,4721,3
marriage affairs,dowry demands,4723,11
Divorce,robbery,4725,12
claims of negligence,unfair dismissal,4727,11
appeal against HR,discrimination,4729,4
Workplace harassment,appeal against HR,4731,5
Murder,Workplace harassment,4733,11
robbery,Murder,4735,15
dowry demands,theft,4737,11
robbery,cybercrime,4739,9
unfair dismissal,sedition,4741,7
theft,Property dispute,4743,8
cybercrime,marriage affairs,4745,8
sedition,Divorce,4747,5
Property dispute,Fraud,4749,7
Fraud,riots,4751,3
riots,claims of negligence,4753,13
marriage affairs,dowry demands,4755,5
Divorce,robbery,4757,14
claims of negligence,unfair dismissal,4759,3
appeal against HR,discrimination,4761,15
Workplace harassment,appeal against HR,4763,15
Murder,Workplace harassment,4765,15
robbery,Murder,4767,5
dowry demands,theft,4769,5
robbery,cybercrime,4771,3
unfair dismissal,sedition,4773,9
theft,Property dispute,4775,4
cybercrime,marriage affairs,4777,3
sedition,Divorce,4779,15
Property dispute,Fraud,4781,3
Fraud,riots,4783,14
riots,claims of negligence,4785,9
marriage affairs,dowry demands,4787,12
Divorce,robbery,4789,10
claims of negligence,unfair dismissal,4791,4
appeal against HR,discrimination,4793,12
Workplace harassment,appeal against HR,4795,15
Murder,Workplace harassment,4797,14
robbery,Murder,4799,9
dowry demands,theft,4801,9
robbery,cybercrime,4803,9
unfair dismissal,sedition,4805,9
theft,Property dispute,4807,7
cybercrime,marriage affairs,4809,13
sedition,Divorce,4811,13
Property dispute,Fraud,4813,15
Fraud,riots,4815,12
riots,claims of negligence,4817,4
marriage affairs,dowry demands,4819,3
Divorce,robbery,4821,11
claims of negligence,unfair dismissal,4823,10
appeal against HR,discrimination,4825,11
Workplace harassment,appeal against HR,4827,5
Murder,Workplace harassment,4829,7
robbery,Murder,4831,11
dowry demands,theft,4833,12
robbery,cybercrime,4835,11
unfair dismissal,sedition,4837,6
theft,Property dispute,4839,10
cybercrime,marriage affairs,4841,14
sedition,Divorce,4843,7
Property dispute,Fraud,4845,5
Fraud,riots,4847,11
riots,claims of negligence,4849,5
marriage affairs,dowry demands,4851,7
Divorce,robbery,4853,10
claims of negligence,unfair dismissal,4855,9
appeal against HR,discrimination,4857,15
Workplace harassment,appeal against HR,4859,4
Murder,Workplace harassment,4861,8
robbery,Murder,4863,13
dowry demands,theft,4865,3
robbery,cybercrime,4867,4
unfair dismissal,sedition,4869,4
theft,Property dispute,4871,3
cybercrime,marriage affairs,4873,10
sedition,Divorce,4875,9
Property dispute,Fraud,4877,7
Fraud,riots,4879,5
riots,claims of negligence,4881,14
marriage affairs,dowry demands,4883,9
Divorce,robbery,4885,4
claims of negligence,unfair dismissal,4887,13
appeal against HR,discrimination,4889,12
Workplace harassment,appeal against HR,4891,10
Murder,Workplace harassment,4893,4
robbery,Murder,4895,13
dowry demands,theft,4897,3
robbery,cybercrime,4899,10
unfair dismissal,sedition,4901,12
theft,Property dispute,4903,3
cybercrime,marriage affairs,4905,11
sedition,Divorce,4907,8
Property dispute,Fraud,4909,12
Fraud,riots,4911,14
riots,claims of negligence,4913,13
marriage affairs,dowry demands,4915,7
Divorce,robbery,4917,9
claims of negligence,unfair dismissal,4919,6
appeal against HR,discrimination,4921,13
Workplace harassment,appeal against HR,4923,14
Murder,Workplace harassment,4925,12
robbery,Murder,4927,5
dowry demands,theft,4929,3
robbery,cybercrime,4931,11
unfair dismissal,sedition,4933,3
theft,Property dispute,4935,9
cybercrime,marriage affairs,4937,5
sedition,Divorce,4939,12
Property dispute,Fraud,4941,13
Fraud,riots,4943,11
riots,claims of negligence,4945,10
marriage affairs,dowry demands,4947,6
Divorce,robbery,4949,10
claims of negligence,unfair dismissal,4951,12
appeal against HR,discrimination,4953,13
Workplace harassment,appeal against HR,4955,11
Murder,Workplace harassment,4957,13
robbery,Murder,4959,9
dowry demands,theft,4961,13
robbery,cybercrime,4963,10
unfair dismissal,sedition,4965,15
theft,Property dispute,4967,10
cybercrime,marriage affairs,4969,4
sedition,Divorce,4971,9
Property dispute,Fraud,4973,7
Fraud,riots,4975,4
riots,claims of negligence,4977,6
marriage affairs,dowry demands,4979,5
Divorce,robbery,4981,8
claims of negligence,unfair dismissal,4983,15
appeal against HR,discrimination,4985,13
Workplace harassment,appeal against HR,4987,9
Murder,Workplace harassment,4989,6
robbery,Murder,4991,11
dowry demands,theft,4993,11
robbery,cybercrime,4995,3
unfair dismissal,sedition,4997,4
theft,Property dispute,4999,14
cybercrime,marriage affairs,5001,6
sedition,Divorce,5003,12
Property dispute,Fraud,5005,9
Fraud,riots,5007,3
riots,claims of negligence,5009,3
marriage affairs,dowry demands,5011,3
Divorce,robbery,5013,14
claims of negligence,unfair dismissal,5015,11
appeal against HR,discrimination,5017,12
Workplace harassment,appeal against HR,5019,9
Murder,Workplace harassment,5021,11
robbery,Murder,5023,10
dowry demands,theft,5025,14
robbery,cybercrime,5027,8
unfair dismissal,sedition,5029,13
theft,Property dispute,5031,9
cybercrime,marriage affairs,5033,6
sedition,Divorce,5035,9
Property dispute,Fraud,5037,13
Fraud,riots,5039,9
riots,claims of negligence,5041,3
marriage affairs,dowry demands,5043,14
Divorce,robbery,5045,11
claims of negligence,unfair dismissal,5047,14
appeal against HR,discrimination,5049,8
Workplace harassment,appeal against HR,5051,15
Murder,Workplace harassment,5053,13
robbery,Murder,5055,15
dowry demands,theft,5057,3
robbery,cybercrime,5059,4
unfair dismissal,sedition,5061,3
theft,Property dispute,5063,4
cybercrime,marriage affairs,5065,6
sedition,Divorce,5067,12
Property dispute,Fraud,5069,6
Fraud,riots,5071,7
riots,claims of negligence,5073,10
marriage affairs,dowry demands,5075,15
Divorce,robbery,5077,7
claims of negligence,unfair dismissal,5079,15
appeal against HR,discrimination,5081,14
Workplace harassment,appeal against HR,5083,4
Murder,Workplace harassment,5085,13
robbery,Murder,5087,10
dowry demands,theft,5089,14
robbery,cybercrime,5091,5
unfair dismissal,sedition,5093,7
theft,Property dispute,5095,11
cybercrime,marriage affairs,5097,9
sedition,Divorce,5099,11
Property dispute,Fraud,5101,8
Fraud,riots,5103,13
riots,claims of negligence,5105,5
marriage affairs,dowry demands,5107,11
Divorce,robbery,5109,13
claims of negligence,unfair dismissal,5111,8
appeal against HR,discrimination,5113,10
Workplace harassment,appeal against HR,5115,6
Murder,Workplace harassment,5117,15
robbery,Murder,5119,3
dowry demands,theft,5121,14
robbery,cybercrime,5123,12
unfair dismissal,sedition,5125,12
theft,Property dispute,5127,13
cybercrime,marriage affairs,5129,12
sedition,Divorce,5131,3
Property dispute,Fraud,5133,7
Fraud,riots,5135,15
riots,claims of negligence,5137,11
marriage affairs,dowry demands,5139,5
Divorce,robbery,5141,8
claims of negligence,unfair dismissal,5143,5
appeal against HR,discrimination,5145,6
Workplace harassment,appeal against HR,5147,4
Murder,Workplace harassment,5149,6
robbery,Murder,5151,8
dowry demands,theft,5153,12
robbery,cybercrime,5155,9
unfair dismissal,sedition,5157,12
theft,Property dispute,5159,9
cybercrime,marriage affairs,5161,14
sedition,Divorce,5163,8
Property dispute,Fraud,5165,15
Fraud,riots,5167,9
riots,claims of negligence,5169,15
marriage affairs,dowry demands,5171,15
Divorce,robbery,5173,15
claims of negligence,unfair dismissal,5175,14
appeal against HR,discrimination,5177,12
Workplace harassment,appeal against HR,5179,14
Murder,Workplace harassment,5181,15
robbery,Murder,5183,11
dowry demands,theft,5185,7
robbery,cybercrime,5187,14
unfair dismissal,sedition,5189,5
theft,Property dispute,5191,13
cybercrime,marriage affairs,5193,14
sedition,Divorce,5195,8
Property dispute,Fraud,5197,9
Fraud,riots,5199,3
riots,claims of negligence,5201,9
marriage affairs,dowry demands,5203,5
Divorce,robbery,5205,10
claims of negligence,unfair dismissal,5207,13
appeal against HR,discrimination,5209,7
Workplace harassment,appeal against HR,5211,7
Murder,Workplace harassment,5213,11
robbery,Murder,5215,8
dowry demands,theft,5217,3
robbery,cybercrime,5219,8
unfair dismissal,sedition,5221,12
theft,Property dispute,5223,13
cybercrime,marriage affairs,5225,4
sedition,Divorce,5227,5
Property dispute,Fraud,5229,14
Fraud,riots,5231,14
riots,claims of negligence,5233,11
marriage affairs,dowry demands,5235,9
Divorce,robbery,5237,9
claims of negligence,unfair dismissal,5239,4
appeal against HR,discrimination,5241,5
Workplace harassment,appeal against HR,5243,3
Murder,Workplace harassment,5245,12
robbery,Murder,5247,11
dowry demands,theft,5249,3
robbery,cybercrime,5251,3
unfair dismissal,sedition,5253,4
theft,Property dispute,5255,12
cybercrime,marriage affairs,5257,4
sedition,Divorce,5259,4
Property dispute,Fraud,5261,4
Fraud,riots,5263,10
riots,claims of negligence,5265,14
marriage affairs,dowry demands,5267,9
Divorce,robbery,5269,6
claims of negligence,unfair dismissal,5271,7
appeal against HR,discrimination,5273,11
Workplace harassment,appeal against HR,5275,5
Murder,Workplace harassment,5277,5
robbery,Murder,5279,15
dowry demands,theft,5281,5
robbery,cybercrime,5283,3
unfair dismissal,sedition,5285,10
theft,Property dispute,5287,3
cybercrime,marriage affairs,5289,11
sedition,Divorce,5291,9
Property dispute,Fraud,5293,5
Fraud,riots,5295,11
riots,claims of negligence,5297,13
marriage affairs,dowry demands,5299,8
Divorce,robbery,5301,13
claims of negligence,unfair dismissal,5303,5
appeal against HR,discrimination,5305,12
Workplace harassment,appeal against HR,5307,13
Murder,Workplace harassment,5309,13
robbery,Murder,5311,12
dowry demands,theft,5313,6
robbery,cybercrime,5315,11
unfair dismissal,sedition,5317,7
theft,Property dispute,5319,15
cybercrime,marriage affairs,5321,15
sedition,Divorce,5323,15
Property dispute,Fraud,5325,6
Fraud,riots,5327,14
riots,claims of negligence,5329,13
marriage affairs,dowry demands,5331,4
Divorce,robbery,5333,7
claims of negligence,unfair dismissal,5335,13
appeal against HR,discrimination,5337,7
Workplace harassment,appeal against HR,5339,6
Murder,Workplace harassment,5341,9
robbery,Murder,5343,11
dowry demands,theft,5345,3
robbery,cybercrime,5347,9
unfair dismissal,sedition,5349,3
theft,Property dispute,5351,4
cybercrime,marriage affairs,5353,7
sedition,Divorce,5355,4
Property dispute,Fraud,5357,14
Fraud,riots,5359,11
riots,claims of negligence,5361,9
marriage affairs,dowry demands,5363,10
Divorce,robbery,5365,15
claims of negligence,unfair dismissal,5367,15
appeal against HR,discrimination,5369,5
Workplace harassment,appeal against HR,5371,4
Murder,Workplace harassment,5373,5
robbery,Murder,5375,3
dowry demands,theft,5377,3
robbery,cybercrime,5379,4
unfair dismissal,sedition,5381,4
theft,Property dispute,5383,14
cybercrime,marriage affairs,5385,14
sedition,Divorce,5387,12
Property dispute,Fraud,5389,10
Fraud,riots,5391,5
riots,claims of negligence,5393,7
marriage affairs,dowry demands,5395,10
Divorce,robbery,5397,10
claims of negligence,unfair dismissal,5399,12
appeal against HR,discrimination,5401,14
Workplace harassment,appeal against HR,5403,9
Murder,Workplace harassment,5405,12
robbery,Murder,5407,3
dowry demands,theft,5409,9
robbery,cybercrime,5411,9
unfair dismissal,sedition,5413,12
theft,Property dispute,5415,13
cybercrime,marriage affairs,5417,7
sedition,Divorce,5419,3
Property dispute,Fraud,5421,4
Fraud,riots,5423,7
riots,claims of negligence,5425,8
marriage affairs,dowry demands,5427,13
Divorce,robbery,5429,12
claims of negligence,unfair dismissal,5431,10
appeal against HR,discrimination,5433,3
Workplace harassment,appeal against HR,5435,12
Murder,Workplace harassment,5437,11
robbery,Murder,5439,4
dowry demands,theft,5441,9
robbery,cybercrime,5443,10
unfair dismissal,sedition,5445,6
theft,Property dispute,5447,9
cybercrime,marriage affairs,5449,5
sedition,Divorce,5451,6
Property dispute,Fraud,5453,7
Fraud,riots,5455,14
riots,claims of negligence,5457,15
marriage affairs,dowry demands,5459,13
Divorce,robbery,5461,8
claims of negligence,unfair dismissal,5463,15
appeal against HR,discrimination,5465,15
Workplace harassment,appeal against HR,5467,5
Murder,Workplace harassment,5469,3
robbery,Murder,5471,4
dowry demands,theft,5473,13
robbery,cybercrime,5475,6
unfair dismissal,sedition,5477,6
theft,Property dispute,5479,9
cybercrime,marriage affairs,5481,9
sedition,Divorce,5483,11
Property dispute,Fraud,5485,4
Fraud,riots,5487,5
riots,claims of negligence,5489,14
marriage affairs,dowry demands,5491,8
Divorce,robbery,5493,15
claims of negligence,unfair dismissal,5495,15
appeal against HR,discrimination,5497,10
Workplace harassment,appeal against HR,5499,7
Murder,Workplace harassment,5501,9
robbery,Murder,5503,13
dowry demands,theft,5505,3
robbery,cybercrime,5507,10
unfair dismissal,sedition,5509,14
theft,Property dispute,5511,5
cybercrime,marriage affairs,5513,4
sedition,Divorce,5515,13
Property dispute,Fraud,5517,4
Fraud,riots,5519,3
riots,claims of negligence,5521,13
marriage affairs,dowry demands,5523,13
Divorce,robbery,5525,10
claims of negligence,unfair dismissal,5527,7
appeal against HR,discrimination,5529,5
Workplace harassment,appeal against HR,5531,12
Murder,Workplace harassment,5533,10
robbery,Murder,5535,4
dowry demands,theft,5537,3
robbery,cybercrime,5539,7
unfair dismissal,sedition,5541,10
theft,Property dispute,5543,5
cybercrime,marriage affairs,5545,9
sedition,Divorce,5547,3
Property dispute,Fraud,5549,14
Fraud,riots,5551,4
riots,claims of negligence,5553,13
marriage affairs,dowry demands,5555,15
Divorce,robbery,5557,11
claims of negligence,unfair dismissal,5559,5
appeal against HR,discrimination,5561,13
Workplace harassment,appeal against HR,5563,7
Murder,Workplace harassment,5565,15
robbery,Murder,5567,8
dowry demands,theft,5569,3
robbery,cybercrime,5571,8
unfair dismissal,sedition,5573,9
theft,Property dispute,5575,13
cybercrime,marriage affairs,5577,7
sedition,Divorce,5579,3
Property dispute,Fraud,5581,12
Fraud,riots,5583,12
riots,claims of negligence,5585,3
marriage affairs,dowry demands,5587,5
Divorce,robbery,5589,4
claims of negligence,unfair dismissal,5591,10
appeal against HR,discrimination,5593,7
Workplace harassment,appeal against HR,5595,13
Murder,Workplace harassment,5597,12
robbery,Murder,5599,11
dowry demands,theft,5601,5
robbery,cybercrime,5603,4
unfair dismissal,sedition,5605,8
theft,Property dispute,5607,10
cybercrime,marriage affairs,5609,9
sedition,Divorce,5611,10
Property dispute,Fraud,5613,8
Fraud,riots,5615,9
riots,claims of negligence,5617,4
marriage affairs,dowry demands,5619,6
Divorce,robbery,5621,4
claims of negligence,unfair dismissal,5623,14
appeal against HR,discrimination,5625,4
Workplace harassment,appeal against HR,5627,3
Murder,Workplace harassment,5629,7
robbery,Murder,5631,13
dowry demands,theft,5633,3
robbery,cybercrime,5635,15
unfair dismissal,sedition,5637,13
theft,Property dispute,5639,14
cybercrime,marriage affairs,5641,14
sedition,Divorce,5643,10
Property dispute,Fraud,5645,9
Fraud,riots,5647,5
riots,claims of negligence,5649,7
marriage affairs,dowry demands,5651,6
Divorce,robbery,5653,3
claims of negligence,unfair dismissal,5655,6
appeal against HR,discrimination,5657,7
Workplace harassment,appeal against HR,5659,6
Murder,Workplace harassment,5661,6
robbery,Murder,5663,9
dowry demands,theft,5665,12
robbery,cybercrime,5667,14
unfair dismissal,sedition,5669,7
theft,Property dispute,5671,8
cybercrime,marriage affairs,5673,9
sedition,Divorce,5675,10
Property dispute,Fraud,5677,15
Fraud,riots,5679,11
riots,claims of negligence,5681,5
